Titel,SKU,EAN,Conditie,Conditie commentaar,stock,price,delivery_period,Afleverwijze,te_koop,Beschrijving,image_link,Marktdeelnemer,,brand,category,product ID,category
SWGOTA Smartwatch Dames Met Belfunctie - 3 Bandjes - 24-uurs hartslag- bloedzuurstof- en bloeddrukmeting - 120+ Sportmodi - Calorie?n - Geschikt voor Android en iOS - Zwart,BOL-G36-black,9328865286331,nieuw,nieuw,0,65.99,4-8d,verkoper,ja,,https://i.goopics.net/kfbgfh.jpg,MUUC International GmbH,,SWGOTA,smartwatch,BOL-G36-black,brand
SWGOTA Smartwatch Dames Met Belfunctie - 3 Bandjes - 24-uurs hartslag- bloedzuurstof- en bloeddrukmeting - 120+ Sportmodi - Calorie?n - Geschikt voor Android en iOS - Helder zilver,BOL-G36-Silver,9328865286348,nieuw,nieuw,20,65.99,4-8d,verkoper,ja,,https://i.goopics.net/tcdjma.jpg,MUUC International GmbH,,SWGOTA,smartwatch,BOL-G36-Silver,brand
SWGOTA Smartwatch Dames Met Belfunctie - 3 Bandjes - 24-uurs hartslag- bloedzuurstof- en bloeddrukmeting - 120+ Sportmodi - Calorie?n - Geschikt voor Android en iOS - Ros¨¦goud,BOL-G36-gold,9328865286355,nieuw,nieuw,20,65.99,4-8d,verkoper,ja,,https://i.goopics.net/326i5f.jpg,MUUC International GmbH,,SWGOTA,smartwatch,BOL-G36-gold,brand
"SWGOTA Smartwatch Dames - Met ketting - 1,27-inch AMOLED - met Belfunctie - 24-uurs hartslagmeting - Slaapmonitor - 120+ Sportmodi - IP68 Waterdicht - Geschikt voor Android en iOS - Zwart goud",BOL-G58-black gold,9328865286362,nieuw,nieuw,20,65.99,4-8d,verkoper,ja,,https://i.goopics.net/nja2bo.jpg,MUUC International GmbH,,SWGOTA,smartwatch,BOL-G58-black gold,brand
"SWGOTA Smartwatch Dames - Met ketting - 1,27-inch AMOLED - met Belfunctie - 24-uurs hartslagmeting - Slaapmonitor - 120+ Sportmodi - IP68 Waterdicht - Geschikt voor Android en iOS - Roze",BOL-G58-pink,9328865286379,nieuw,nieuw,20,69.99,4-8d,verkoper,ja,,https://i.goopics.net/p5kkvr.jpg,MUUC International GmbH,,SWGOTA,smartwatch,BOL-G58-pink,brand
"SWGOTA Smartwatch Dames - Met ketting - 1,27-inch AMOLED - met Belfunctie - 24-uurs hartslagmeting - Slaapmonitor - 120+ Sportmodi - IP68 Waterdicht - Geschikt voor Android en iOS - Zilver",BOL-G58-Silver,9328865286386,nieuw,nieuw,20,69.99,4-8d,verkoper,ja,,https://i.goopics.net/ccomci.jpg,MUUC International GmbH,,SWGOTA,smartwatch,BOL-G58-Silver,brand
"SWGOTA Smartwatch Dames - 1,85-inch HD - met Belfunctie - Damesfuncties - 24-uurs hartslagmeting - Slaapmonitor - 120+ Sportmodi - IP68 Waterdicht - Geschikt voor Android en iOS - Zilver",BOL-G39-Silver,9328865286393,nieuw,nieuw,20,65.99,4-8d,verkoper,ja,,https://i.goopics.net/ixr6b1.jpg,MUUC International GmbH,,SWGOTA,smartwatch,BOL-G39-Silver,brand
"SWGOTA Smartwatch Dames - 1,85-inch HD - met Belfunctie - Damesfuncties - 24-uurs hartslagmeting - Slaapmonitor - 120+ Sportmodi - Waterdicht - Geschikt voor Android en iOS - Roze",BOL-G39-pink,9328865286409,nieuw,nieuw,20,65.99,4-8d,verkoper,ja,,https://i.goopics.net/4jr205.jpg,MUUC International GmbH,,SWGOTA,smartwatch,BOL-G39-pink,brand
"SWGOTA Smartwatch Dames - 1,85-inch HD - met Belfunctie - Damesfuncties - 24-uurs hartslagmeting - Slaapmonitor - 120+ Sportmodi - Waterdicht - Geschikt voor Android en iOS - Ros¨¦goud",BOL-G39-gold,9328865286416,nieuw,nieuw,20,65.99,4-8d,verkoper,ja,,https://i.goopics.net/m0mw94.jpg,MUUC International GmbH,,SWGOTA,smartwatch,BOL-G39-gold,brand
"SWGOTA Smartwatch Dames - 1,85-inch HD - met Belfunctie - Damesfuncties - 24-uurs hartslagmeting - Slaapmonitor - 120+ Sportmodi - Waterdicht - Geschikt voor Android en iOS - Zwart",BOL-G39-black,9328865286423,nieuw,nieuw,20,65.99,4-8d,verkoper,ja,,https://i.goopics.net/a26oha.jpg,MUUC International GmbH,,SWGOTA,smartwatch,BOL-G39-black,brand
SWGOTA Smartwatch Dames - Bloedsuikermeting - met Belfunctie - Damesfuncties - 24-uurs hartslagmeting - Slaapmonitor - 120+ Sportmodi - IP68 Waterdicht - Geschikt voor Android en iOS - Ros¨¦goud,BOL-T6-gold,9328865286430,nieuw,nieuw,20,89.99,4-8d,verkoper,ja,,https://i.goopics.net/uig5nr.jpg,MUUC International GmbH,,SWGOTA,smartwatch,BOL-T6-gold,brand
SWGOTA Smartwatch Dames - Bloedsuikermeting - met Belfunctie - Damesfuncties - 24-uurs hartslagmeting - Slaapmonitor - 120+ Sportmodi - IP68 Waterdicht - Geschikt voor Android en iOS - Zwart goud,BOL-T6-black gold,9328865286447,nieuw,nieuw,20,89.99,4-8d,verkoper,ja,,https://i.goopics.net/mu1d4u.jpg,MUUC International GmbH,,SWGOTA,smartwatch,BOL-T6-black gold,brand
SWGOTA Smartwatch Dames - Bloedsuikermeting - met Belfunctie - Damesfuncties - 24-uurs hartslagmeting - Slaapmonitor - 120+ Sportmodi - IP68 Waterdicht - Geschikt voor Android en iOS - Roze,BOL-T6-pink,9328865286454,nieuw,nieuw,20,89.99,4-8d,verkoper,ja,,https://i.goopics.net/stwppy.jpg,MUUC International GmbH,,SWGOTA,smartwatch,BOL-T6-pink,brand
SWGOTA Smartwatch Heren - 1.43" AMOLED - Met Belfunctie - Bloedsuikermeting - Hartslagmeting - 70+ Sportmodi - Berichtherinnering -  IP68 - 450mAh - Geschikt voor iOS en Android - Zwart,BOL-AK57-black,9328865286461,nieuw,nieuw,20,89.99,4-8d,verkoper,ja,,https://i.goopics.net/euv2sn.jpg,MUUC International GmbH,,SWGOTA,smartwatch,BOL-AK57-black,brand
SWGOTA Smartwatch Heren - 1.43" AMOLED - Met Belfunctie - Bloedsuikermeting - Hartslagmeting - 70+ Sportmodi - Berichtherinnering -  IP68 - 450mAh - Geschikt voor iOS en Android - Zilver,BOL-AK57-Silver,9328865286478,nieuw,nieuw,20,89.99,4-8d,verkoper,ja,,https://i.goopics.net/o51vr4.jpg,MUUC International GmbH,,SWGOTA,smartwatch,BOL-AK57-Silver,brand
"SWGOTA 1,95'' Smartwatch Heren - met Telefoonfunctie Smartwatch - Militaire Kwaliteit - Hartslag - Bloeddruk - SpO2 - Slaapmonitoring - Geschikt voor iOS en Android - Zilver",BOL-AK72-Silver,9328865286485,nieuw,nieuw,20,75.99,4-8d,verkoper,ja,,https://i.goopics.net/xqqywm.jpg,MUUC International GmbH,,SWGOTA,smartwatch,BOL-AK72-Silver,brand
"SWGOTA 1,95'' Smartwatch Heren - met Telefoonfunctie Smartwatch - Militaire Kwaliteit - Hartslag - Bloeddruk - SpO2 - Slaapmonitoring - Geschikt voor iOS en Android - Zwart",BOL-AK72-black,9328865286492,nieuw,nieuw,20,75.99,4-8d,verkoper,ja,,https://i.goopics.net/utccso.jpg,MUUC International GmbH,,SWGOTA,smartwatch,BOL-AK72-black,brand
SWGOTA Smartwatch Heren - Militaire Kwaliteit - Kerstcadeaus - Hartslagmeter - Slaapmonitor - Stappenteller - voor Android iOS - IP68 Waterdicht - 300mAh - Zwart,BOL-MT43PRO-black,9328865286508,nieuw,nieuw,20,75.99,4-8d,verkoper,ja,,https://i.goopics.net/5uxf80.jpg,MUUC International GmbH,,SWGOTA,smartwatch,BOL-MT43PRO-black,brand
SWGOTA Smartwatch Heren - Militaire Kwaliteit - Kerstcadeaus - Hartslagmeter - Slaapmonitor - Stappenteller - voor Android iOS - IP68 Waterdicht - 300mAh - Zilver,BOL-MT43PRO-Silver,9328865286515,nieuw,nieuw,20,75.99,4-8d,verkoper,ja,,https://i.goopics.net/d32wyl.jpg,MUUC International GmbH,,SWGOTA,smartwatch,BOL-MT43PRO-Silver,brand
SWGOTA Smartwatch Heren - met Bloeddrukmeter -ECG+PPG -Bloeddruk - BMI-monitoring  - met Hartslag - SpO2 - Slaapmonitoring - Geschikt voor iOS en Android - Silver,BOL-T30-Silver,9328865286522,nieuw,nieuw,20,89.99,4-8d,verkoper,ja,,https://i.goopics.net/el1elh.jpg,MUUC International GmbH,,SWGOTA,smartwatch,BOL-T30-Silver,brand
SWGOTA Smartwatch Heren - met Bloeddrukmeter -ECG+PPG -Bloeddruk - BMI-monitoring  - met Hartslag - SpO2 - Slaapmonitoring - Geschikt voor iOS en Android - Zwart,BOL-T30-black,9328865286539,nieuw,nieuw,20,89.99,4-8d,verkoper,ja,,https://i.goopics.net/kub2hl.jpg,MUUC International GmbH,,SWGOTA,smartwatch,BOL-T30-black,brand
SWGOTA Smartwatch Heren - 1000 mAh Grote Batterij - 100+ Sportmodi - Hartslag - Bloeddruk - SpO2 - Slaapmonitoring - Geschikt voor iOS en Android - Silver,BOL-V99-Silver,9328865286546,nieuw,nieuw,20,75.99,4-8d,verkoper,ja,,https://i.goopics.net/y07g97.jpg,MUUC International GmbH,,SWGOTA,smartwatch,BOL-V99-Silver,brand
SWGOTA Smartwatch Heren - 1000 mAh Grote Batterij - 100+ Sportmodi - Hartslag - Bloeddruk - SpO2 - Slaapmonitoring - Geschikt voor iOS en Android - Zwart,BOL-V99-black,9328865286553,nieuw,nieuw,20,75.99,4-8d,verkoper,ja,,https://i.goopics.net/l6n7fg.jpg,MUUC International GmbH,,SWGOTA,smartwatch,BOL-V99-black,brand
SWGOTA Smartwatch Dames - met Diamanten Halsketting en Bluetooth-oproep - Menstruatie - Hartslag - SpO2 - Bloeddruk - Slaapmonitoring - Geschikt voor iOS en Android - Ros¨¦goud,BOL-AK60-gold,9328865286560,nieuw,nieuw,20,69.99,4-8d,verkoper,ja,,https://i.goopics.net/r8mx75.jpg,MUUC International GmbH,,SWGOTA,smartwatch,BOL-AK60-gold,brand
SWGOTA Smartwatch Dames - met Diamanten Halsketting en Bluetooth-oproep - Menstruatie - Hartslag - SpO2 - Bloeddruk - Slaapmonitoring - Geschikt voor iOS en Android - Zilver,BOL-AK60-Silver,9328865286577,nieuw,nieuw,20,69.99,4-8d,verkoper,ja,,https://i.goopics.net/kiutp3.jpg,MUUC International GmbH,,SWGOTA,smartwatch,BOL-AK60-Silver,brand
SWGOTA Smartwatch Dames - met Diamanten Halsketting en Bluetooth-oproep - Menstruatie - Hartslag - SpO2 - Bloeddruk - Slaapmonitoring - Geschikt voor iOS en Android - Ros¨¦goud,BOL-AK73-gold,9328865286584,nieuw,nieuw,20,69.99,4-8d,verkoper,ja,,https://i.goopics.net/i0l9kf.jpg,MUUC International GmbH,,SWGOTA,smartwatch,BOL-AK73-gold,brand
SWGOTA Smartwatch Dames - met Diamanten Halsketting en Bluetooth-oproep - Menstruatie - Hartslag - SpO2 - Bloeddruk - Slaapmonitoring - Geschikt voor iOS en Android - Zilver,BOL-AK73-Silver,9328865286591,nieuw,nieuw,20,69.99,4-8d,verkoper,ja,,https://i.goopics.net/vwa212.jpg,MUUC International GmbH,,SWGOTA,smartwatch,BOL-AK73-Silver,brand
SWGOTA Smartwatch Dames - met Bluetooth-oproep - met 60 Diamanten - IP68 - Hartslag - SpO2 - Bloeddruk - Slaapmonitoring - Geschikt voor iOS en Android - Ros¨¦goud,BOL-I70-gold,9328865286607,nieuw,nieuw,20,65.99,4-8d,verkoper,ja,,https://i.goopics.net/bdwy3u.jpg,MUUC International GmbH,,SWGOTA,smartwatch,BOL-I70-gold,brand
SWGOTA Smartwatch Dames - met Bluetooth-oproep - met 60 Diamanten - IP68 - Hartslag - SpO2 - Bloeddruk - Slaapmonitoring - Geschikt voor iOS en Android - Zilver,BOL-I70-Silver,9328865286614,nieuw,nieuw,20,65.99,4-8d,verkoper,ja,,https://i.goopics.net/k64l7x.jpg,MUUC International GmbH,,SWGOTA,smartwatch,BOL-I70-Silver,brand
SWGOTA Smartwatch Dames - met Bluetooth-oproep - met 60 Diamanten - IP68 - Hartslag - SpO2 - Bloeddruk - Slaapmonitoring - Geschikt voor iOS en Android - Zwart goud,BOL-I70-black gold,9328865286621,nieuw,nieuw,20,65.99,4-8d,verkoper,ja,,https://i.goopics.net/sdyo7g.jpg,MUUC International GmbH,,SWGOTA,smartwatch,BOL-I70-black gold,brand
SWGOTA Smartwatch Dames AMOLED - Gesprekken Ontvangen en Maken - Bloedzuurstof - Hartslagmeting - Slaapmonitor - Stappenteller - IP68 Waterdicht - Geschikt voor Android en iOS - Zwart goud,BOL-S61-gold,9328865286638,nieuw,nieuw,20,65.99,4-8d,verkoper,ja,,https://i.goopics.net/3lblpr.jpg,MUUC International GmbH,,SWGOTA,smartwatch,BOL-S61-gold,brand
SWGOTA Smartwatch Dames AMOLED - Gesprekken Ontvangen en Maken - Bloedzuurstof - Hartslagmeting - Slaapmonitor - Stappenteller - IP68 Waterdicht - Geschikt voor Android en iOS - Grijze + zwarte band,BOL-S61-black gold,9328865286645,nieuw,nieuw,20,65.99,4-8d,verkoper,ja,,https://i.goopics.net/gvk5eu.jpg,MUUC International GmbH,,SWGOTA,smartwatch,BOL-S61-black gold,brand
